case_id,circuit_structure_hash,num_plaquettes,target_topology,structural_family_fold
N3_x4_t0.32_r2_symmetry__synthetic_grid_6q_transpiler__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,3,grid,2
N3_x4_t0.32_r2_symmetry__synthetic_heavy_hex_like_7q_transpiler__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,3,heavy_hex_like,2
N3_x4_t0.32_r2_symmetry__synthetic_irregular_7q_favorable__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,3,irregular,2
N3_x4_t0.32_r2_symmetry__synthetic_irregular_7q_spread__seed7,ba6a68ec18cf628ef593f8bf116adff9beb0c49bfece1e9746db62e3c2b91702,3,irregular,2
N3_x0.5_t0.08_r2_current__synthetic_irregular_7q_spread__seed7,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,3,irregular,4
N4_x2_t0.24_r1_current__synthetic_line_6q_favorable__seed7,5e7b6193b40d2957c5e87a2adb552bc2ec50ce7dd4f8c6a534264966f43f22c4,4,line,3
N4_x2_t0.24_r2_current__synthetic_line_6q_spread__seed7,722837ca17cf8a26549d515c36b44e659a6fd16bdb027872c8cb7007139f134c,4,line,0
N4_x2_t0.24_r4_current__synthetic_ring_6q_transpiler__seed7,4c02070fde736bde53d19c2818950c4ccec18611744acc48bced18e5d2043a97,4,ring,2
N4_x2_t0.24_r8_current__synthetic_grid_6q_transpiler__seed7,7982982987e59a949c739e2bae48e48a06af33b8104d2d18d107b51b6d37128a,4,grid,2
N4_x1_t0.16_r2_reversed__synthetic_line_6q_favorable__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,4,line,4
N4_x1_t0.16_r2_reversed__synthetic_line_6q_spread__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,4,line,4
N4_x1_t0.16_r2_reversed__synthetic_ring_6q_transpiler__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,4,ring,4
N4_x1_t0.16_r2_reversed__synthetic_grid_6q_transpiler__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,4,grid,4
N4_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_7q_transpiler__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,4,heavy_hex_like,4
N4_x1_t0.16_r2_reversed__synthetic_irregular_7q_favorable__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,4,irregular,4
N4_x1_t0.16_r2_reversed__synthetic_irregular_7q_spread__seed7,63750b2d38357d5cd9f9fb922cc3dfb8e294b61159a2362da953e87c8d5996e0,4,irregular,4
N4_x4_t0.32_r2_symmetry__synthetic_irregular_7q_favorable__seed7,840108f27be7018d9523cce50ed0465580fc76086dc4d719c7931a97dc6b3878,4,irregular,0
N4_x0.5_t0.08_r2_current__synthetic_irregular_7q_spread__seed7,722837ca17cf8a26549d515c36b44e659a6fd16bdb027872c8cb7007139f134c,4,irregular,0
N5_x2_t0.24_r1_current__synthetic_line_7q_favorable__seed7,8e6844338f73e15122efb5508ac939bc137edd6cadbefd075727a5a24c97e8c5,5,line,4
N5_x2_t0.24_r2_current__synthetic_line_7q_spread__seed7,8fce0abdbcb2e9a8f70c342ce15ae5cbd2d944a42e437502fede0d157c893389,5,line,3
N5_x2_t0.24_r4_current__synthetic_ring_7q_transpiler__seed7,495a1a0380964ce3d87e9e0df5d5d4a019d919b5ff9cd004d857e037c784d1c0,5,ring,3
N5_x2_t0.24_r8_current__synthetic_line_7q_favorable__seed7,a3c3aa0730f53f43ddad72a4d4519d745a0759d60b4da195300a7d684cae92e5,5,line,3
N5_x2_t0.24_r8_current__synthetic_line_7q_spread__seed7,a3c3aa0730f53f43ddad72a4d4519d745a0759d60b4da195300a7d684cae92e5,5,line,3
N5_x2_t0.24_r8_current__synthetic_ring_7q_transpiler__seed7,a3c3aa0730f53f43ddad72a4d4519d745a0759d60b4da195300a7d684cae92e5,5,ring,3
N5_x2_t0.24_r8_current__synthetic_grid_8q_transpiler__seed7,a3c3aa0730f53f43ddad72a4d4519d745a0759d60b4da195300a7d684cae92e5,5,grid,3
N5_x2_t0.24_r8_current__synthetic_heavy_hex_like_7q_transpiler__seed7,a3c3aa0730f53f43ddad72a4d4519d745a0759d60b4da195300a7d684cae92e5,5,heavy_hex_like,3
N5_x2_t0.24_r8_current__synthetic_irregular_7q_favorable__seed7,a3c3aa0730f53f43ddad72a4d4519d745a0759d60b4da195300a7d684cae92e5,5,irregular,3
N5_x2_t0.24_r8_current__synthetic_irregular_7q_spread__seed7,a3c3aa0730f53f43ddad72a4d4519d745a0759d60b4da195300a7d684cae92e5,5,irregular,3
N5_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_7q_transpiler__seed7,f6aea3bf3166425d47f6c0e2ca7ee5cce8ec4676267e9d3a9230860146e5617e,5,heavy_hex_like,2
N5_x4_t0.32_r2_symmetry__synthetic_irregular_7q_favorable__seed7,c2142e093ccb99940251960feda0c8e111c5304b305b2585b4176727240e142e,5,irregular,0
N5_x0.5_t0.08_r2_current__synthetic_irregular_7q_spread__seed7,8fce0abdbcb2e9a8f70c342ce15ae5cbd2d944a42e437502fede0d157c893389,5,irregular,3
N6_x2_t0.24_r1_current__synthetic_line_8q_favorable__seed7,673f2d126506bd6d05c0a636b96d707aaa84cf71d50cb096a1f6b81c618a0569,6,line,2
N6_x2_t0.24_r2_current__synthetic_line_8q_spread__seed7,f2873a141bbf31a64072838851205fa523d9c722535816eb13ac5a8872e54b2b,6,line,2
N6_x2_t0.24_r4_current__synthetic_line_8q_favorable__seed7,d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,6,line,1
N6_x2_t0.24_r4_current__synthetic_line_8q_spread__seed7,d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,6,line,1
N6_x2_t0.24_r4_current__synthetic_ring_8q_transpiler__seed7,d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,6,ring,1
N6_x2_t0.24_r4_current__synthetic_grid_8q_transpiler__seed7,d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,6,grid,1
N6_x2_t0.24_r4_current__synthetic_heavy_hex_like_8q_transpiler__seed7,d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,6,heavy_hex_like,1
N6_x2_t0.24_r4_current__synthetic_irregular_8q_favorable__seed7,d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,6,irregular,1
N6_x2_t0.24_r4_current__synthetic_irregular_8q_spread__seed7,d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,6,irregular,1
N6_x2_t0.24_r8_current__synthetic_grid_8q_transpiler__seed7,deaf935266467950cd58176b219aee007813075ec88ef210e712ade79ff62e2a,6,grid,3
N6_x1_t0.16_r2_reversed__synthetic_heavy_hex_like_8q_transpiler__seed7,3e6d0f2ff1367ecdcdf80c027f80a014b0b827c6ada6e255ffc043664ef7e52c,6,heavy_hex_like,4
N6_x4_t0.32_r2_symmetry__synthetic_irregular_8q_favorable__seed7,22212664afc1417240d2159e660dfd5bef69af78a6080db0f12d8faa91232b09,6,irregular,0
N6_x0.5_t0.08_r2_current__synthetic_irregular_8q_spread__seed7,f2873a141bbf31a64072838851205fa523d9c722535816eb13ac5a8872e54b2b,6,irregular,2
